frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal,is_synthetic
1536,"Jun 12, 2025 19:31:06.728559099 CEST",c4:ea:1d:53:75:c3,1326,243,-85,
684,"Jun 12, 2025 19:30:24.070223216 CEST",f2:42:89:7e:73:bd,3966,458,-60,
93,"Jun 12, 2025 19:29:52.793197135 CEST",c4:ea:1d:53:75:c3,516,243,-77,
857,"Jun 12, 2025 19:30:32.262130162 CEST",f2:42:89:7e:73:bd,4051,458,-61,
1349,"Jun 12, 2025 19:30:57.103419128 CEST",c4:ea:1d:53:75:c3,1224,243,-76,
24,"Jun 12, 2025 19:29:49.208335261 CEST",c4:ea:1d:53:75:c3,476,243,-82,
515,"Jun 12, 2025 19:30:14.854320621 CEST",f2:42:89:7e:73:bd,3871,458,-60,
1011,"Jun 12, 2025 19:30:39.020445867 CEST",f2:42:89:7e:73:bd,27,458,-61,
618,"Jun 12, 2025 19:30:20.179079447 CEST",f2:42:89:7e:73:bd,3925,458,-61,
880,"Jun 12, 2025 19:30:33.286996872 CEST",f2:42:89:7e:73:bd,4061,458,-61,
1410,"Jun 12, 2025 19:31:00.831457449 CEST",f2:42:89:7e:73:bd,247,458,-60,
906,"Jun 12, 2025 19:30:34.310098133 CEST",f2:42:89:7e:73:bd,4071,458,-60,
128,"Jun 12, 2025 19:29:54.681769628 CEST",f2:42:89:7e:73:bd,3661,458,-60,
81,"Jun 12, 2025 19:29:52.326564682 CEST",f2:42:89:7e:73:bd,3638,458,-59,
500,"Jun 12, 2025 19:30:14.035134815 CEST",f2:42:89:7e:73:bd,3861,458,-60,
771,"Jun 12, 2025 19:30:27.142194938 CEST",f2:42:89:7e:73:bd,4001,458,-60,
1194,"Jun 12, 2025 19:30:48.748327953 CEST",f2:42:89:7e:73:bd,126,458,-60,
1035,"Jun 12, 2025 19:30:40.351618427 CEST",f2:42:89:7e:73:bd,41,458,-60,
501,"Jun 12, 2025 19:30:14.137540086 CEST",f2:42:89:7e:73:bd,3862,458,-60,
1121,"Jun 12, 2025 19:30:44.708807844 CEST",c4:ea:1d:53:75:c3,1091,243,-78,
1210,"Jun 12, 2025 19:30:49.567545397 CEST",f2:42:89:7e:73:bd,134,458,-59,
730,"Jun 12, 2025 19:30:26.016925866 CEST",f2:42:89:7e:73:bd,3986,458,-61,
1300,"Jun 12, 2025 19:30:53.765893944 CEST",f2:42:89:7e:73:bd,177,458,-58,
1115,"Jun 12, 2025 19:30:44.345188909 CEST",f2:42:89:7e:73:bd,83,458,-61,
708,"Jun 12, 2025 19:30:24.991800953 CEST",f2:42:89:7e:73:bd,3975,458,-60,
226,"Jun 12, 2025 19:30:01.952070411 CEST",f2:42:89:7e:73:bd,3735,458,-58,
1084,"Jun 12, 2025 19:30:42.911614220 CEST",f2:42:89:7e:73:bd,68,458,-60,
484,"Jun 12, 2025 19:30:13.319343163 CEST",f2:42:89:7e:73:bd,3853,458,-61,
1124,"Jun 12, 2025 19:30:44.857178178 CEST",f2:42:89:7e:73:bd,88,458,-60,
1222,"Jun 12, 2025 19:30:50.181949436 CEST",f2:42:89:7e:73:bd,140,458,-59,
191,"Jun 12, 2025 19:29:59.699306006 CEST",f2:42:89:7e:73:bd,3712,458,-62,
1556,"Jun 12, 2025 19:31:07.543861590 CEST",c4:ea:1d:53:75:c3,1335,243,-77,
1555,"Jun 12, 2025 19:31:07.487313826 CEST",f2:42:89:7e:73:bd,314,458,-58,
235,"Jun 12, 2025 19:30:02.464063033 CEST",f2:42:89:7e:73:bd,3741,458,-63,
994,"Jun 12, 2025 19:30:38.052861511 CEST",c4:ea:1d:53:75:c3,1021,243,-83,
178,"Jun 12, 2025 19:29:58.934904541 CEST",3a:07:16:cb:a7:f4,1161,384,-86,
99,"Jun 12, 2025 19:29:53.043378531 CEST",f2:42:89:7e:73:bd,3645,458,-58,
1123,"Jun 12, 2025 19:30:44.811191185 CEST",c4:ea:1d:53:75:c3,1092,243,-83,
644,"Jun 12, 2025 19:30:22.078609129 CEST",c4:ea:1d:53:75:c3,839,243,-75,
-1,dummy,40:ee:dd:0e:38:54,-1,-1,-100,True
897,"Jun 12, 2025 19:30:33.900520211 CEST",f2:42:89:7e:73:bd,4067,458,-60,
1168,"Jun 12, 2025 19:30:47.576070015 CEST",c4:ea:1d:53:75:c3,1120,243,-77,
520,"Jun 12, 2025 19:30:15.220226579 CEST",c4:ea:1d:53:75:c3,768,243,-78,
36,"Jun 12, 2025 19:29:49.972489488 CEST",f2:42:89:7e:73:bd,3611,458,-60,
1159,"Jun 12, 2025 19:30:47.007554214 CEST",f2:42:89:7e:73:bd,109,458,-60,
1593,"Jun 12, 2025 19:31:09.387639838 CEST",c4:ea:1d:53:75:c3,1354,243,-84,
626,"Jun 12, 2025 19:30:20.692110329 CEST",f2:42:89:7e:73:bd,3930,459,-61,
80,"Jun 12, 2025 19:29:52.224179804 CEST",f2:42:89:7e:73:bd,3637,458,-59,
1528,"Jun 12, 2025 19:31:06.360933439 CEST",f2:42:89:7e:73:bd,302,458,-60,
1382,"Jun 12, 2025 19:30:59.456454525 CEST",c4:ea:1d:53:75:c3,1250,243,-84,
536,"Jun 12, 2025 19:30:16.287903970 CEST",f2:42:89:7e:73:bd,3885,458,-61,
1550,"Jun 12, 2025 19:31:07.384918473 CEST",f2:42:89:7e:73:bd,312,458,-61,
151,"Jun 12, 2025 19:29:56.832131695 CEST",f2:42:89:7e:73:bd,3682,458,-59,
125,"Jun 12, 2025 19:29:54.374554583 CEST",f2:42:89:7e:73:bd,3658,458,-60,
614,"Jun 12, 2025 19:30:19.974263388 CEST",f2:42:89:7e:73:bd,3923,458,-60,
254,"Jun 12, 2025 19:30:03.752865121 CEST",c4:ea:1d:53:75:c3,634,243,-74,
145,"Jun 12, 2025 19:29:56.422539037 CEST",f2:42:89:7e:73:bd,3678,458,-59,
1199,"Jun 12, 2025 19:30:49.011926069 CEST",c4:ea:1d:53:75:c3,1136,243,-84,
1043,"Jun 12, 2025 19:30:40.818957884 CEST",c4:ea:1d:53:75:c3,1052,243,-83,
1651,"Jun 12, 2025 19:31:13.528885314 CEST",f2:42:89:7e:73:bd,375,458,-60,
584,"Jun 12, 2025 19:30:18.540701759 CEST",f2:42:89:7e:73:bd,3907,458,-61,
454,"Jun 12, 2025 19:30:12.089549347 CEST",f2:42:89:7e:73:bd,3839,458,-60,
760,"Jun 12, 2025 19:30:26.937386492 CEST",f2:42:89:7e:73:bd,3997,458,-61,
560,"Jun 12, 2025 19:30:17.311887676 CEST",f2:42:89:7e:73:bd,3895,458,-61,
970,"Jun 12, 2025 19:30:37.074863262 CEST",f2:42:89:7e:73:bd,7,458,-61,
736,"Jun 12, 2025 19:30:26.324692517 CEST",f2:42:89:7e:73:bd,3989,458,-60,
873,"Jun 12, 2025 19:30:33.035294263 CEST",c4:ea:1d:53:75:c3,962,243,-83,
-1,dummy,40:ee:dd:0e:38:54,-1,-1,-100,True
1705,"Jun 12, 2025 19:31:17.112829124 CEST",f2:42:89:7e:73:bd,416,458,-60,
1283,"Jun 12, 2025 19:30:52.844426417 CEST",f2:42:89:7e:73:bd,168,458,-59,
1650,"Jun 12, 2025 19:31:13.427756602 CEST",f2:42:89:7e:73:bd,374,458,-59,
1523,"Jun 12, 2025 19:31:05.952781397 CEST",f2:42:89:7e:73:bd,298,458,-59,
1219,"Jun 12, 2025 19:30:49.977114519 CEST",f2:42:89:7e:73:bd,138,458,-58,
60,"Jun 12, 2025 19:29:50.996171759 CEST",f2:42:89:7e:73:bd,3625,458,-59,
142,"Jun 12, 2025 19:29:56.115336634 CEST",f2:42:89:7e:73:bd,3675,458,-58,
1642,"Jun 12, 2025 19:31:12.766237843 CEST",c4:ea:1d:53:75:c3,1391,243,-79,
1116,"Jun 12, 2025 19:30:44.403207809 CEST",c4:ea:1d:53:75:c3,1088,243,-83,
772,"Jun 12, 2025 19:30:27.198165883 CEST",3a:07:16:cb:a7:f4,1391,384,-85,
901,"Jun 12, 2025 19:30:34.003943000 CEST",f2:42:89:7e:73:bd,4068,458,-60,
1113,"Jun 12, 2025 19:30:44.277382381 CEST",3a:07:16:cb:a7:f4,1530,384,-84,
525,"Jun 12, 2025 19:30:15.571951264 CEST",f2:42:89:7e:73:bd,3878,458,-59,
792,"Jun 12, 2025 19:30:28.326821070 CEST",c4:ea:1d:53:75:c3,915,243,-76,
1548,"Jun 12, 2025 19:31:07.236658837 CEST",c4:ea:1d:53:75:c3,1332,243,-77,
1018,"Jun 12, 2025 19:30:39.384032256 CEST",c4:ea:1d:53:75:c3,1034,243,-74,
1303,"Jun 12, 2025 19:30:54.073077770 CEST",f2:42:89:7e:73:bd,180,458,-60,
1549,"Jun 12, 2025 19:31:07.282523957 CEST",f2:42:89:7e:73:bd,311,458,-59,
1153,"Jun 12, 2025 19:30:46.597974965 CEST",f2:42:89:7e:73:bd,105,458,-60,
1243,"Jun 12, 2025 19:30:51.410703385 CEST",f2:42:89:7e:73:bd,152,458,-60,
1254,"Jun 12, 2025 19:30:52.025097087 CEST",f2:42:89:7e:73:bd,160,458,-59,
831,"Jun 12, 2025 19:30:30.782480620 CEST",c4:ea:1d:53:75:c3,939,243,-79,
1127,"Jun 12, 2025 19:30:44.965616967 CEST",f2:42:89:7e:73:bd,89,458,-60,
988,"Jun 12, 2025 19:30:37.689289440 CEST",f2:42:89:7e:73:bd,14,458,-60,
1532,"Jun 12, 2025 19:31:06.623873161 CEST",c4:ea:1d:53:75:c3,1325,243,-77,
