frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal,is_synthetic
3686,"Jun  5, 2025 00:38:10.712224496 CEST",f2:42:89:7e:73:bd,11,458,-75,
-1,dummy,c4:ea:1d:53:75:c3,-1,-1,-100,True
1913,"Jun  5, 2025 00:37:55.704866087 CEST",40:ee:dd:0e:38:54,2958,305,-87,
4799,"Jun  5, 2025 00:38:24.126464742 CEST",f2:42:89:7e:73:bd,144,458,-73,
-1,dummy,c4:ea:1d:53:75:c3,-1,-1,-100,True
1251,"Jun  5, 2025 00:37:48.184514651 CEST",f2:42:89:7e:73:bd,3878,458,-76,
1197,"Jun  5, 2025 00:37:47.576399262 CEST",40:ee:dd:0e:38:54,2875,305,-83,
-1,dummy,c4:ea:1d:53:75:c3,-1,-1,-100,True
1542,"Jun  5, 2025 00:37:51.289428482 CEST",40:ee:dd:0e:38:54,2914,305,-84,
6416,"Jun  5, 2025 00:38:44.401436581 CEST",f2:42:89:7e:73:bd,350,458,-74,
6633,"Jun  5, 2025 00:38:47.084698049 CEST",40:ee:dd:0e:38:54,3498,305,-85,
1328,"Jun  5, 2025 00:37:48.798892080 CEST",f2:42:89:7e:73:bd,3885,458,-75,
3874,"Jun  5, 2025 00:38:12.764586531 CEST",40:ee:dd:0e:38:54,3136,305,-85,
4785,"Jun  5, 2025 00:38:23.718256268 CEST",f2:42:89:7e:73:bd,140,458,-73,
7140,"Jun  5, 2025 00:38:53.310112119 CEST",f2:42:89:7e:73:bd,443,458,-73,
675,"Jun  5, 2025 00:37:41.835788113 CEST",f2:42:89:7e:73:bd,3816,458,-74,
1749,"Jun  5, 2025 00:37:54.021258346 CEST",f2:42:89:7e:73:bd,3938,458,-76,
8155,"Jun  5, 2025 00:39:05.905188770 CEST",f2:42:89:7e:73:bd,568,458,-72,
696,"Jun  5, 2025 00:37:42.040567156 CEST",f2:42:89:7e:73:bd,3818,458,-74,
6471,"Jun  5, 2025 00:38:45.307026252 CEST",3a:07:16:cb:a7:f4,3385,384,-82,
1284,"Jun  5, 2025 00:37:48.389295092 CEST",f2:42:89:7e:73:bd,3880,458,-75,
4849,"Jun  5, 2025 00:38:24.606024748 CEST",40:ee:dd:0e:38:54,3263,305,-84,
3764,"Jun  5, 2025 00:38:11.326630909 CEST",f2:42:89:7e:73:bd,17,458,-75,
6142,"Jun  5, 2025 00:38:40.963275765 CEST",40:ee:dd:0e:38:54,3434,305,-84,
4371,"Jun  5, 2025 00:38:18.699334030 CEST",f2:42:89:7e:73:bd,91,458,-73,
6139,"Jun  5, 2025 00:38:40.919868429 CEST",f2:42:89:7e:73:bd,316,458,-73,
5790,"Jun  5, 2025 00:38:36.311923871 CEST",f2:42:89:7e:73:bd,271,458,-73,
7326,"Jun  5, 2025 00:38:55.870099671 CEST",f2:42:89:7e:73:bd,468,458,-72,
3491,"Jun  5, 2025 00:38:08.869103733 CEST",f2:42:89:7e:73:bd,4086,458,-76,
-1,dummy,c4:ea:1d:53:75:c3,-1,-1,-100,True
4368,"Jun  5, 2025 00:38:18.596936371 CEST",f2:42:89:7e:73:bd,90,458,-73,
5934,"Jun  5, 2025 00:38:38.155119294 CEST",f2:42:89:7e:73:bd,289,458,-72,
3980,"Jun  5, 2025 00:38:14.193793346 CEST",f2:42:89:7e:73:bd,46,458,-75,
5007,"Jun  5, 2025 00:38:26.788831305 CEST",f2:42:89:7e:73:bd,170,458,-73,
2949,"Jun  5, 2025 00:38:04.879806770 CEST",3a:07:16:cb:a7:f4,3056,384,-83,
1434,"Jun  5, 2025 00:37:49.884481665 CEST",40:ee:dd:0e:38:54,2900,305,-84,
1905,"Jun  5, 2025 00:37:55.557219519 CEST",f2:42:89:7e:73:bd,3953,459,-75,
5477,"Jun  5, 2025 00:38:32.215974170 CEST",f2:42:89:7e:73:bd,229,458,-73,
6195,"Jun  5, 2025 00:38:41.535690385 CEST",f2:42:89:7e:73:bd,322,458,-73,
4913,"Jun  5, 2025 00:38:25.910580097 CEST",40:ee:dd:0e:38:54,3276,305,-84,
7165,"Jun  5, 2025 00:38:53.719713996 CEST",f2:42:89:7e:73:bd,447,458,-74,
822,"Jun  5, 2025 00:37:43.160944056 CEST",40:ee:dd:0e:38:54,2827,305,-83,
1019,"Jun  5, 2025 00:37:45.829328353 CEST",f2:42:89:7e:73:bd,3855,458,-75,
7312,"Jun  5, 2025 00:38:55.562909769 CEST",f2:42:89:7e:73:bd,465,458,-73,
6220,"Jun  5, 2025 00:38:41.945843450 CEST",f2:42:89:7e:73:bd,326,458,-73,
1623,"Jun  5, 2025 00:37:52.178073050 CEST",f2:42:89:7e:73:bd,3920,458,-75,
319,"Jun  5, 2025 00:37:39.071012438 CEST",f2:42:89:7e:73:bd,3783,458,-73,
595,"Jun  5, 2025 00:37:41.325113047 CEST",f2:42:89:7e:73:bd,3810,458,-74,
5167,"Jun  5, 2025 00:38:28.324814826 CEST",f2:42:89:7e:73:bd,190,458,-74,
5299,"Jun  5, 2025 00:38:30.168016256 CEST",f2:42:89:7e:73:bd,208,458,-74,
2247,"Jun  5, 2025 00:37:58.219597884 CEST",f2:42:89:7e:73:bd,3981,458,-75,
6933,"Jun  5, 2025 00:38:50.954954246 CEST",f2:42:89:7e:73:bd,416,458,-74,
7463,"Jun  5, 2025 00:38:57.420894712 CEST",40:ee:dd:0e:38:54,3601,305,-85,
4560,"Jun  5, 2025 00:38:20.849724802 CEST",f2:42:89:7e:73:bd,112,458,-74,
5928,"Jun  5, 2025 00:38:38.052676658 CEST",f2:42:89:7e:73:bd,288,458,-74,
7747,"Jun  5, 2025 00:39:00.990037548 CEST",f2:42:89:7e:73:bd,518,458,-73,
961,"Jun  5, 2025 00:37:44.850518897 CEST",3a:07:16:cb:a7:f4,2893,384,-84,
3939,"Jun  5, 2025 00:38:13.784185951 CEST",f2:42:89:7e:73:bd,42,458,-76,
4570,"Jun  5, 2025 00:38:20.993401103 CEST",40:ee:dd:0e:38:54,3226,305,-84,
6352,"Jun  5, 2025 00:38:43.572519091 CEST",40:ee:dd:0e:38:54,3462,305,-87,
7984,"Jun  5, 2025 00:39:03.857189998 CEST",f2:42:89:7e:73:bd,546,458,-73,
-1,dummy,c4:ea:1d:53:75:c3,-1,-1,-100,True
886,"Jun  5, 2025 00:37:44.088553286 CEST",f2:42:89:7e:73:bd,3838,458,-73,
4665,"Jun  5, 2025 00:38:21.896531732 CEST",40:ee:dd:0e:38:54,3236,305,-84,
88,"Jun  5, 2025 00:37:36.838822018 CEST",40:ee:dd:0e:38:54,2758,305,-83,
773,"Jun  5, 2025 00:37:42.553903245 CEST",f2:42:89:7e:73:bd,3823,458,-74,
7247,"Jun  5, 2025 00:38:54.538934374 CEST",f2:42:89:7e:73:bd,455,458,-75,
1462,"Jun  5, 2025 00:37:50.539668055 CEST",f2:42:89:7e:73:bd,3903,458,-73,
6133,"Jun  5, 2025 00:38:40.817461761 CEST",f2:42:89:7e:73:bd,315,458,-73,
8037,"Jun  5, 2025 00:39:04.345127815 CEST",40:ee:dd:0e:38:54,3686,305,-86,
2520,"Jun  5, 2025 00:38:00.267562363 CEST",f2:42:89:7e:73:bd,4002,458,-75,
6078,"Jun  5, 2025 00:38:40.100694287 CEST",f2:42:89:7e:73:bd,308,458,-73,
4887,"Jun  5, 2025 00:38:25.355250191 CEST",f2:42:89:7e:73:bd,156,458,-75,
4935,"Jun  5, 2025 00:38:26.072057684 CEST",f2:42:89:7e:73:bd,163,458,-74,
1176,"Jun  5, 2025 00:37:47.467704923 CEST",f2:42:89:7e:73:bd,3871,458,-76,
7589,"Jun  5, 2025 00:38:58.738702305 CEST",f2:42:89:7e:73:bd,496,458,-73,
6415,"Jun  5, 2025 00:38:44.375237090 CEST",40:ee:dd:0e:38:54,3470,305,-86,
7019,"Jun  5, 2025 00:38:51.819615457 CEST",3a:07:16:cb:a7:f4,3438,384,-83,
4021,"Jun  5, 2025 00:38:14.705772418 CEST",f2:42:89:7e:73:bd,51,458,-76,
7296,"Jun  5, 2025 00:38:55.358093360 CEST",f2:42:89:7e:73:bd,463,458,-73,
573,"Jun  5, 2025 00:37:41.153935483 CEST",40:ee:dd:0e:38:54,2805,305,-86,
2902,"Jun  5, 2025 00:38:04.363505989 CEST",f2:42:89:7e:73:bd,4042,458,-76,
1150,"Jun  5, 2025 00:37:46.957214029 CEST",f2:42:89:7e:73:bd,3866,458,-75,
4905,"Jun  5, 2025 00:38:25.764850881 CEST",f2:42:89:7e:73:bd,160,458,-73,
4017,"Jun  5, 2025 00:38:14.603464436 CEST",f2:42:89:7e:73:bd,50,458,-73,
6978,"Jun  5, 2025 00:38:51.262144078 CEST",f2:42:89:7e:73:bd,421,458,-74,
